pair_id,file_a,file_b,label
calibration_000001,id10852/fRGTY9Zed8I/00014.wav,id10912/Yf93Q8L4xhs/00015.wav,0
calibration_000002,id11130/3OERtMNQ0Is/00003.wav,id11130/Zgl6gxMr9x0/00012.wav,1
calibration_000003,id11100/I3_NJyP6jp0/00018.wav,id11100/xs7wQ9wxtZ0/00007.wav,1
calibration_000004,id10852/XgXbHX3_xIA/00002.wav,id10852/bezBfE_aCrI/00002.wav,1
calibration_000005,id10956/M2k_enZdWu4/00003.wav,id11100/XjoJ20n9u2M/00003.wav,0
calibration_000006,id10393/sV_ohWbzzQg/00004.wav,id10393/zGDrufd0E7U/00001.wav,1
calibration_000007,id10017/8rp9UYZp-zA/00013.wav,id11136/ydUt9GgHa9Q/00006.wav,0
calibration_000008,id10912/VeqfQfXAwRY/00001.wav,id10912/WKkZvGACy8w/00001.wav,1
calibration_000009,id10724/e-vuV1-N97Q/00001.wav,id10724/xS_Mh-DOAI0/00007.wav,1
calibration_000010,id10017/CYb_opUpiw4/00010.wav,id10017/bNNIcOJGy4w/00001.wav,1
calibration_000011,id10956/RsUKqz-Ng84/00001.wav,id10956/lR3HvDI2qvw/00003.wav,1
calibration_000012,id10912/vvLu_7TpP8c/00017.wav,id11100/Yp4Tnl9Ob9Y/00022.wav,0
calibration_000013,id10956/5ipwzaOLhPQ/00003.wav,id10956/RFfFOkaYMTU/00012.wav,1
calibration_000014,id10956/QcoqcI_ReP4/00001.wav,id10956/pJ4Jnsz1SsA/00025.wav,1
calibration_000015,id10724/JNMeEXwXbqw/00002.wav,id10724/e-vuV1-N97Q/00003.wav,1
calibration_000016,id10017/qFUUDSjCy5M/00004.wav,id10393/DMBVJM39ybM/00002.wav,0
calibration_000017,id10912/6wBjQ6soleU/00002.wav,id10912/csbEEsKuRO8/00001.wav,1
calibration_000018,id10912/KRRbdyUUtLo/00004.wav,id11130/F8zXHQZ_VyA/00003.wav,0
calibration_000019,id10017/5r-26vNFeJU/00003.wav,id10912/NBh6Y-hphmo/00005.wav,0
calibration_000020,id10724/XVoRDzwHwDU/00018.wav,id10956/SK9iVw56wXs/00001.wav,0
calibration_000021,id10912/WKkZvGACy8w/00022.wav,id11130/1qEq08w7Q5I/00003.wav,0
calibration_000022,id11100/QmihWZJn-a4/00002.wav,id11100/xs7wQ9wxtZ0/00006.wav,1
calibration_000023,id10017/xLakEK2bbQw/00002.wav,id10912/EnAmuPInAvs/00001.wav,0
calibration_000024,id10724/e-vuV1-N97Q/00004.wav,id10956/6ewLksV5OWo/00002.wav,0
calibration_000025,id10393/5tY3jMpviwk/00001.wav,id10393/UGid3tWJXKw/00002.wav,1
calibration_000026,id11130/BXJh_XZGrWo/00001.wav,id11130/yY2yv2W4ZLk/00001.wav,1
calibration_000027,id10956/h_vFlQ6YUAU/00008.wav,id11136/Pded8L7dHCQ/00002.wav,0
calibration_000028,id10017/8rp9UYZp-zA/00008.wav,id10852/2iV9HT3E1Ls/00009.wav,0
calibration_000029,id10017/CYb_opUpiw4/00029.wav,id10912/GE7RTk2_AqQ/00004.wav,0
calibration_000030,id10017/iwN6Hu6xyM0/00001.wav,id10017/xLakEK2bbQw/00003.wav,1
calibration_000031,id10393/JhbyTN4ivRg/00002.wav,id10956/Agg13sg82pk/00004.wav,0
calibration_000032,id10956/lR3HvDI2qvw/00012.wav,id11100/vLEjFXUFGQA/00002.wav,0
calibration_000033,id10852/sVUfcg8XQzg/00038.wav,id10912/ad3NhT2tA7E/00014.wav,0
calibration_000034,id11100/4p9Zq781kZ0/00003.wav,id11100/mbPLgZ4EjM0/00003.wav,1
calibration_000035,id10017/PynZ3bQ3Ga4/00001.wav,id10017/pOJlOI5cDZw/00002.wav,1
calibration_000036,id10724/XVoRDzwHwDU/00006.wav,id10956/M2k_enZdWu4/00007.wav,0
calibration_000037,id11100/6geoWeYvFFw/00004.wav,id11130/ajiJfJowUIA/00015.wav,0
calibration_000038,id11130/IZhnh1gf70g/00014.wav,id11136/ydUt9GgHa9Q/00004.wav,0
calibration_000039,id10912/Yf93Q8L4xhs/00018.wav,id11130/jfW15QZTx9k/00004.wav,0
calibration_000040,id10912/GE7RTk2_AqQ/00003.wav,id10912/csbEEsKuRO8/00003.wav,1
