pair_id,speaker_a,speaker_b,event_a,event_b,audio_a,audio_b,label,similarity
pair_0001,id10017,id10017,pOJlOI5cDZw,5r-26vNFeJU,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\pOJlOI5cDZw\00005.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\5r-26vNFeJU\00009.wav,1,0.9576407670974731
pair_0002,id10852,id10912,QCbljH_QH9M,EnAmuPInAvs,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10852\QCbljH_QH9M\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10912\EnAmuPInAvs\00001.wav,0,0.8595922589302063
pair_0003,id10017,id10941,xLakEK2bbQw,h3QX4ZHdyWI,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10017\xLakEK2bbQw\00003.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10941\h3QX4ZHdyWI\00001.wav,0,0.8798256516456604
pair_0004,id10583,id10583,qMMlFEm6CuE,BceLH6tkbH0,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\qMMlFEm6CuE\00005.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10583\BceLH6tkbH0\00014.wav,1,0.9692975878715515
pair_0005,id11089,id10393,dTDPdozz3X8,5tY3jMpviwk,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11089\dTDPdozz3X8\00007.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10393\5tY3jMpviwk\00001.wav,0,0.8651542067527771
pair_0006,id11089,id11089,c4dLwcifQaQ,DqbzTtSoRnc,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11089\c4dLwcifQaQ\00006.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11089\DqbzTtSoRnc\00001.wav,1,0.9545084238052368
pair_0007,id10912,id10912,nDpaVYtKQUo,JtTrbIAKVQg,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10912\nDpaVYtKQUo\00003.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10912\JtTrbIAKVQg\00001.wav,1,0.962353527545929
pair_0008,id10901,id10901,Y3WXoivKSlA,h4WdYGZkxwo,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10901\Y3WXoivKSlA\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10901\h4WdYGZkxwo\00001.wav,1,0.9483581781387329
pair_0009,id11209,id11209,2Q9kg50V7Qk,GuFgYdt1szI,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11209\2Q9kg50V7Qk\00004.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11209\GuFgYdt1szI\00003.wav,1,0.9671086072921753
pair_0010,id10956,id10956,zNzlB5JN_kY,8Jim3lamzDQ,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10956\zNzlB5JN_kY\00005.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10956\8Jim3lamzDQ\00002.wav,1,0.9526845216751099
pair_0011,id10956,id10956,lR3HvDI2qvw,5ipwzaOLhPQ,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10956\lR3HvDI2qvw\00004.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10956\5ipwzaOLhPQ\00002.wav,1,0.9671627879142761
pair_0012,id11100,id11100,YaYaPzSxRA8,4p9Zq781kZ0,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11100\YaYaPzSxRA8\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11100\4p9Zq781kZ0\00002.wav,1,0.9449108242988586
pair_0013,id10045,id10045,bVnFhUi19mg,W1Bk8uD5U2E,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10045\bVnFhUi19mg\00005.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10045\W1Bk8uD5U2E\00001.wav,1,0.9504018425941467
pair_0014,id10519,id10519,SnKuOWc19zE,dlro2AY0A38,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10519\SnKuOWc19zE\00005.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10519\dlro2AY0A38\00001.wav,1,0.9491325616836548
pair_0015,id10955,id10955,0WLiSk3Iua4,BJ-mjwsDrTs,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10955\0WLiSk3Iua4\00002.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10955\BJ-mjwsDrTs\00029.wav,1,0.9419503211975098
pair_0016,id10912,id10912,GE7RTk2_AqQ,c5k0yjQqaww,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10912\GE7RTk2_AqQ\00003.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10912\c5k0yjQqaww\00006.wav,1,0.9550597667694092
pair_0017,id11136,id11136,X2Y1UPlq0j8,7_Gb0VYQV3s,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11136\X2Y1UPlq0j8\00004.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11136\7_Gb0VYQV3s\00001.wav,1,0.963991641998291
pair_0018,id11209,id11209,yOcBd7KktgM,ya32Cn7QY-4,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11209\yOcBd7KktgM\00005.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id11209\ya32Cn7QY-4\00005.wav,1,0.9661999344825745
pair_0019,id10393,id10941,VG1kjxkcfcA,m6EmvGA_loo,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10393\VG1kjxkcfcA\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10941\m6EmvGA_loo\00004.wav,0,0.8807633519172668
pair_0020,id10003,id10003,Tzn91xwBaWE,BQxxhq4539A,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10003\Tzn91xwBaWE\00001.wav,data\raw\voxceleb1_indian\vox1_indian\content\vox_indian\id10003\BQxxhq4539A\00017.wav,1,0.9634860754013062
