pair_id,file_a,file_b,utterance_id_a,utterance_id_b,label,similarity,status,error
calibration_000001,id10852/fRGTY9Zed8I/00014.wav,id10912/Yf93Q8L4xhs/00015.wav,utt_002043,utt_002515,0,0.119556725025177,success,
calibration_000002,id11130/3OERtMNQ0Is/00003.wav,id11130/Zgl6gxMr9x0/00012.wav,utt_004226,utt_004443,1,0.7606056928634644,success,
calibration_000003,id11100/I3_NJyP6jp0/00018.wav,id11100/xs7wQ9wxtZ0/00007.wav,utt_004109,utt_004174,1,0.6677348017692566,success,
calibration_000004,id10852/XgXbHX3_xIA/00002.wav,id10852/bezBfE_aCrI/00002.wav,utt_002169,utt_002018,1,0.5978468060493469,success,
calibration_000005,id10956/M2k_enZdWu4/00003.wav,id11100/XjoJ20n9u2M/00003.wav,utt_003332,utt_004166,0,-0.0003170948475599289,success,
calibration_000006,id10393/sV_ohWbzzQg/00004.wav,id10393/zGDrufd0E7U/00001.wav,utt_001374,utt_001446,1,0.5017096400260925,success,
calibration_000007,id10017/8rp9UYZp-zA/00013.wav,id11136/ydUt9GgHa9Q/00006.wav,utt_000335,utt_004499,0,-0.07743577659130096,success,
calibration_000008,id10912/VeqfQfXAwRY/00001.wav,id10912/WKkZvGACy8w/00001.wav,utt_002433,utt_002470,1,0.6366646885871887,success,
calibration_000009,id10724/e-vuV1-N97Q/00001.wav,id10724/xS_Mh-DOAI0/00007.wav,utt_001891,utt_001945,1,0.6360852122306824,success,
calibration_000010,id10017/CYb_opUpiw4/00010.wav,id10017/bNNIcOJGy4w/00001.wav,utt_000372,utt_000341,1,0.696212649345398,success,
calibration_000011,id10956/RsUKqz-Ng84/00001.wav,id10956/lR3HvDI2qvw/00003.wav,utt_003447,utt_003318,1,0.5727605223655701,success,
calibration_000012,id10912/vvLu_7TpP8c/00017.wav,id11100/Yp4Tnl9Ob9Y/00022.wav,utt_002450,utt_004201,0,-0.00680916802957654,success,
calibration_000013,id10956/5ipwzaOLhPQ/00003.wav,id10956/RFfFOkaYMTU/00012.wav,utt_003245,utt_003446,1,0.6369994878768921,success,
calibration_000014,id10956/QcoqcI_ReP4/00001.wav,id10956/pJ4Jnsz1SsA/00025.wav,utt_003428,utt_003421,1,0.49505144357681274,success,
calibration_000015,id10724/JNMeEXwXbqw/00002.wav,id10724/e-vuV1-N97Q/00003.wav,utt_001905,utt_001893,1,0.648989200592041,success,
calibration_000016,id10017/qFUUDSjCy5M/00004.wav,id10393/DMBVJM39ybM/00002.wav,utt_000421,utt_001229,0,-0.005124782677739859,success,
calibration_000017,id10912/6wBjQ6soleU/00002.wav,id10912/csbEEsKuRO8/00001.wav,utt_002325,utt_002359,1,0.7142716646194458,success,
calibration_000018,id10912/KRRbdyUUtLo/00004.wav,id11130/F8zXHQZ_VyA/00003.wav,utt_002399,utt_004281,0,0.08426877111196518,success,
calibration_000019,id10017/5r-26vNFeJU/00003.wav,id10912/NBh6Y-hphmo/00005.wav,utt_000305,utt_002414,0,0.03408176079392433,success,
calibration_000020,id10724/XVoRDzwHwDU/00018.wav,id10956/SK9iVw56wXs/00001.wav,utt_001974,utt_003455,0,0.11824458837509155,success,
calibration_000021,id10912/WKkZvGACy8w/00022.wav,id11130/1qEq08w7Q5I/00003.wav,utt_002491,utt_004218,0,0.07485713809728622,success,
calibration_000022,id11100/QmihWZJn-a4/00002.wav,id11100/xs7wQ9wxtZ0/00006.wav,utt_004135,utt_004173,1,0.6308629512786865,success,
calibration_000023,id10017/xLakEK2bbQw/00002.wav,id10912/EnAmuPInAvs/00001.wav,utt_000452,utt_002372,0,0.13392819464206696,success,
calibration_000024,id10724/e-vuV1-N97Q/00004.wav,id10956/6ewLksV5OWo/00002.wav,utt_001894,utt_003248,0,0.15311498939990997,success,
calibration_000025,id10393/5tY3jMpviwk/00001.wav,id10393/UGid3tWJXKw/00002.wav,utt_001197,utt_001389,1,0.7562375068664551,success,
calibration_000026,id11130/BXJh_XZGrWo/00001.wav,id11130/yY2yv2W4ZLk/00001.wav,utt_004265,utt_004423,1,0.7162101864814758,success,
calibration_000027,id10956/h_vFlQ6YUAU/00008.wav,id11136/Pded8L7dHCQ/00002.wav,utt_003288,utt_004475,0,0.05902674049139023,success,
calibration_000028,id10017/8rp9UYZp-zA/00008.wav,id10852/2iV9HT3E1Ls/00009.wav,utt_000330,utt_001998,0,0.24187830090522766,success,
calibration_000029,id10017/CYb_opUpiw4/00029.wav,id10912/GE7RTk2_AqQ/00004.wav,utt_000391,utt_002384,0,0.08478745073080063,success,
calibration_000030,id10017/iwN6Hu6xyM0/00001.wav,id10017/xLakEK2bbQw/00003.wav,utt_000393,utt_000453,1,0.6603941917419434,success,
calibration_000031,id10393/JhbyTN4ivRg/00002.wav,id10956/Agg13sg82pk/00004.wav,utt_001284,utt_003265,0,-0.042128290981054306,success,
calibration_000032,id10956/lR3HvDI2qvw/00012.wav,id11100/vLEjFXUFGQA/00002.wav,utt_003327,utt_004145,0,0.08053000271320343,success,
calibration_000033,id10852/sVUfcg8XQzg/00038.wav,id10912/ad3NhT2tA7E/00014.wav,utt_002131,utt_002340,0,0.06550674885511398,success,
calibration_000034,id11100/4p9Zq781kZ0/00003.wav,id11100/mbPLgZ4EjM0/00003.wav,utt_004032,utt_004123,1,0.6203985810279846,success,
